"","aFractionalDiscardRate","aReferenceIndustryDemandElasticity","aReferencePopulation","aInnovatorAdoptionFraction","aWOMStrength","aVolumeReportingDelay","aCapacityAcquisitionDelay","aSensOfAttractToAvailability","aSensOfAttractToPrice","aLCStrength","aRatioOfFixedToVarCost","aNormalCapacityUtilization","aSensOfPriceToCosts","aSensOfPriceToDSBalance","aSensOfPriceToShare","aTempoMedioRealizacaoPeD","aCustoMedioPatente","aTempoMedioAvaliacao","aTaxaRejeicao","aTempodeInutilizacaoPatente","aPerfSlope","aSensOfAttractToPerformance","aInitialReorderShare","aPercPeDAberto2","aPercPeDAberto3","aPercPeDAberto4","aOrcamentoPeD2","aOrcamentoPeD3","aOrcamentoPeD4","aDesiredMarketShare2","aDesiredMarketShare3","aDesiredMarketShare4","aSwitchForCapacityStrategy2","aSwitchForCapacityStrategy3","aSwitchForCapacityStrategy4"
"571",0.145595952975214,0.602216627069283,76964.8575914325,0.00242493097966886,1.2495671577513,0.108852037063261,0.736566082635545,-2.87987569497433,-10.8584641257301,0.78000336163165,2.89003700212039,0.97880565635534,0.780971857031109,0.195036299810454,-0.34079471680976,3.66288094796822,2515998.13898792,1.73370605738251,0.412172080645105,7.65502748162253,0.0241288806061419,-7.89640321403742,0.299116127704969,0.683796343567083,0.128460693608504,0.0425884243636392,0.105602244965034,0.0839256318114931,0.14153090880916,0.445652552998648,0.275865759424923,0.454829465131741,1.00818181210886,1.77138099433457,2.06859807645555
"625",0.193491641554632,0.76951216395013,93878.5780062608,0.00709976520712604,0.492299295037636,0.0784887981085194,0.983989662635722,-2.64026148283854,-9.28330576533452,0.775440907762037,1.26295643960343,0.814055449889507,0.96700169301359,0.118177980828332,-0.0612121931789443,2.78474437959259,2261332.07292063,2.51338273879664,0.31923182516126,10.8788232630934,0.0292446425682346,-10.6481892582215,0.462499341004645,0.587294284610543,0.482792370686075,0.502768850605935,0.0556867960381787,0.0548701101583429,0.0783780125670601,0.530345437583933,0.169757368166756,0.332124934585625,2.42509090391241,1.68215156895902,0.933626271315117
"679",0.187630052300985,0.265441321256803,58694.8679360212,0.00932325522117433,0.43732652873511,0.102552872774177,0.673504526548204,-2.85071201042272,-11.3436972991377,0.904285896455636,2.66471211255778,0.7542714448357,0.862738316231407,0.219270531116345,-0.336626245515654,1.59494575787336,1272326.81369176,2.6885100018623,0.498935990723781,8.59763262679335,0.0193877054462242,-4.65421084545553,0.363744935110677,0.870295140965609,0.210146146763582,0.756922583800042,0.0882629721625708,0.121285428714124,0.0596764187561348,0.346498675421684,0.237086678835796,0.288407653507544,1.83880803581742,1.45415008522798,0.806472441768018
"733",0.184049204178387,0.460450997280423,98601.7992353009,0.00288188279863563,0.636327799160616,0.0977721310729976,0.569506756057963,-5.32675525546074,-4.69723043959588,0.765576219236362,0.442004941753781,0.750856519665103,0.569662975135725,0.181515604421147,-0.293621496720007,2.63806496137287,2032506.54569361,2.13726743005856,0.388508114884375,11.2060398400878,0.0357272787797252,-6.93528677792288,0.306673240454053,0.495847061455715,0.849586843679426,0.796868904278381,0.108446831209934,0.0869245706261136,0.118786954433192,0.56067125370024,0.226307787728263,0.426664275890775,1.17329946941768,1.08347849037945,1.70108275471033
"787",0.123964623464271,0.352165836466011,60407.1854936774,0.00358285106025171,0.852054193256307,0.169077006136868,0.661152119035251,-2.59071383475792,-11.4212371809781,0.719954050589353,2.11659887563189,0.620875307967421,0.662650350863696,0.0289975741895614,-0.139141748094698,3.39566888545058,1164824.24298534,2.99105330007209,0.447888920918573,7.63195054861717,0.0351502285877659,-10.6941105146613,0.198772576276213,0.806055893866578,0.994992980702082,0.206378267152468,0.0680028642145917,0.123305896053207,0.0834311552855652,0.437258513344382,0.195570273856516,0.355834176370641,2.0300871560632,0.98612085563665,1.64166091983228
"841",0.159573960409034,0.330952373362379,50399.5388781768,0.00530743703370215,1.31728461965686,0.0779220221252763,0.642097936927457,-2.9066491497308,-10.100065086009,0.797601705786074,2.50057614587827,0.625166707102209,0.59481314221106,0.135385793165187,-0.353708195185754,2.30477218925254,2618478.69219957,2.48424502383044,0.570979959646706,6.3364375201636,0.0203478606140146,-6.00313958737068,0.251725528222392,0.618959179625381,0.941300846152008,0.764053024640307,0.128647877776297,0.135280380212585,0.0644456820808118,0.368095501291356,0.21368018273724,0.365301691115508,2.12013837466065,0.730696455756784,1.59339729189823
"895",0.175878108084318,0.487572418176569,55320.1173183334,0.00475634390847175,1.35632925706275,0.216012063309536,0.820824536406435,-5.76128096790519,-6.92377518385649,0.859138823998626,0.589067505832716,0.800896943412721,0.834144309155527,0.150520691681304,-0.142925791214802,3.36517231823644,1021924.49352937,2.28145680915273,0.382744024854619,9.02409310898511,0.0236173960465538,-8.26220161917619,0.32117806170322,0.01668406621553,0.786526824620087,0.603159130736021,0.119243591602077,0.0861756685700966,0.0543957542749122,0.463213133496046,0.295797163931129,0.405194520793855,1.37604561225555,1.46438168345735,1.67759300937342
"949",0.164654874720378,0.237046296149492,90067.4854315002,0.000572634932756191,1.03973373144178,0.158237329009062,0.512549410764477,-3.62648052130826,-5.29658778889105,0.987029713251512,2.71350216774386,0.835460835145321,0.911674314854899,0.218298318726302,-0.0404538801097079,1.71771906940266,1729000.50349068,2.8925881893374,0.380212410841486,14.2750243536313,0.0293271476856453,-10.1686459712591,0.415474505597609,0.226997034263331,0.961724941270659,0.967964210232021,0.10188785246294,0.110627138287644,0.143060262316838,0.461075088595261,0.234940782084013,0.336947649804968,2.10889611291221,1.27544403467414,2.15933686059451
"1003",0.193788702973514,0.216800516960211,73967.3801991448,0.0052772887633706,1.47962437460339,0.135924039845195,0.695503335990361,-5.96777660099789,-5.17196770819835,0.927012110696407,1.06091570757662,0.866719111306127,0.616107519993093,0.0673003372192034,-0.214380715083098,2.48373936737888,2405650.60455119,1.89091395223571,0.300142258146428,7.28901033198927,0.0356901840719042,-7.39099893359467,0.312261422752519,0.939254999264376,0.307001226271968,0.0897634811128955,0.0699135870686732,0.050823670632788,0.0559534222958609,0.346775602389453,0.219139157232014,0.470268387100613,1.82355462517818,0.780703362955386,2.20029287182722
"1057",0.116948478913633,0.227948422875488,87328.5151460441,0.00137233524983982,1.44966649483819,0.140776006196029,0.745085318982019,-2.40411165411118,-10.6290707756486,0.919828600665554,2.94984622872072,0.995907675914932,0.511382280368707,0.139800635021529,-0.332596679878188,1.4879493061325,2927196.17011258,2.57461975876708,0.487936903764959,10.318182713748,0.0321649444239885,-6.48042722869664,0.477093618025188,0.176826644968241,0.889913955223747,0.346390208383091,0.0850891408418538,0.104952669817256,0.108713256498682,0.453462323464034,0.185743294915475,0.537306576698832,2.35521123736172,1.84228751357376,0.724375072411809
"1111",0.102584745262982,0.470101978827734,57672.8742248379,0.0101076842879364,0.579178640265134,0.0959683631663938,0.898060168414377,-5.86801031610463,-7.88651565698907,0.998175015207729,1.41459187584839,0.880529357364867,0.84737301581481,0.107376861009398,-0.499618349503144,2.95350547749084,1117849.61875295,1.91297332223388,0.365608463723911,7.40765915925149,0.015420051354943,-4.81597265910357,0.631765743738622,0.875405095905298,0.311933176307939,0.896822801242815,0.111467813931638,0.097430144530721,0.12262824872171,0.348195977870852,0.230105906409735,0.45062739012721,2.48288638142525,1.58835535938571,2.26823336715313
"1165",0.133349477243843,0.781902476298856,90339.4772071624,0.00156840619685012,0.779149376675137,0.189940697626662,0.907775923932204,-4.56493487682194,-6.58316303050146,0.762386452593026,1.83694693796724,0.612106298648752,0.679972172870766,0.15992516341852,-0.258857682600501,2.36086283362703,2777477.80393343,1.74083450919832,0.508490199705935,11.8212819312583,0.0324601645373676,-11.499966271352,0.778345414872631,0.518994435449131,0.783270204321016,0.827816333513474,0.0614934175405651,0.0761671565261204,0.11784683800221,0.361383282892301,0.211979741660063,0.555109131476469,1.30052764790237,2.48732311363382,2.02524182695408
"1219",0.173226518569165,0.355924331998685,36398.5428604938,0.0093731271035492,1.1138208281229,0.12878834161238,0.887971263735672,-2.9498305521626,-8.43897850031965,0.897792383035994,0.629003803762161,0.987253172082361,0.669098205409828,0.144211297624861,-0.0319238726742333,1.45011884904467,2166248.58191703,1.61373035723751,0.574962658012868,8.07599985696143,0.0361473935378134,-4.91920351231471,0.326880985617405,0.471947414105525,0.795957746914355,0.607399732077029,0.134504447737243,0.078046928134514,0.0935517625560751,0.42696421788655,0.256815712984884,0.538569607602805,1.89586609602803,1.20851748746493,0.71189537323931
"1273",0.139590331253945,0.339777300675632,68722.2168273292,0.000496287027740618,1.27697946148389,0.0899213465574576,0.532916302045924,-3.45392767810728,-8.05495335195214,0.822049451256054,1.49554031128642,0.739057550779544,0.920715557977092,0.0126502069280832,-0.370782519719796,2.98240889733308,1943504.7779209,2.21415305091999,0.406060305269435,9.74125220193528,0.0296420549515767,-10.5324104742054,0.653621968150837,0.222364832946332,0.696349555550842,0.714874156037113,0.131507113889907,0.0833855743303429,0.0849578838975867,0.488451806899509,0.247301730973413,0.316058490629168,1.34422712535074,1.61923814006988,2.34172011232986
"1327",0.160311611083802,0.261495163012296,46961.8925570976,0.0105708820155705,1.17603899525933,0.113126521314116,0.891940844534547,-2.1531754548382,-4.4086444277782,0.853771281223278,1.04349814312516,0.785098284846172,0.702294213935384,0.191501992582635,-0.109251841431251,3.97117937467294,1314773.40663085,2.33652365738293,0.546346698121866,9.10576355115045,0.0135226354394409,-9.2728044902347,0.664396243029158,0.632853235334624,0.794215039355913,0.269425634454237,0.100436157991528,0.112866333423182,0.088171156992903,0.554335905541584,0.196674403604586,0.512344301797263,1.13963102698021,2.11255671781908,1.0023659787185
"1381",0.163608005247428,0.984208551550983,43946.9370052684,0.0105263916447037,1.22844370172813,0.0705260969347,0.725264088038821,-2.17568483743351,-8.72208711061627,0.810030655678478,2.37730184932999,0.85731961440295,0.635758782940684,0.194924342638697,-0.301178966733278,1.11192484551808,1894352.57716104,1.80382508181094,0.400686640848988,11.4082338386681,0.0200295488198396,-9.71778889548965,0.409732306790771,0.862736528436653,0.952567527340725,0.344127636736957,0.0785920422392664,0.122621072167298,0.0755633976234822,0.44443483984042,0.286845211184991,0.501958059353475,2.26302657398051,1.33318775513155,1.36795087151914
"1435",0.191495574257919,0.0358316801325418,59407.0911727904,0.00386454496094258,1.3783156145527,0.154942281240874,0.853416738482774,-2.72208328548353,-9.87311205155216,0.773763451143866,2.8220254779044,0.645952437479515,0.659142106232466,0.123577376358153,-0.0151444988243747,3.67982771109557,1430366.05213536,2.66932393653842,0.420860377235804,5.63482662888709,0.0352608111039684,-5.47323864955455,0.566053276679944,0.724294900940731,0.353520161240594,0.398909399498953,0.0537328821847914,0.120976949081058,0.0615426342197461,0.336617166245135,0.21069980600226,0.488315145886689,0.962549466823763,1.48084274778627,0.702343315019575
"1489",0.111241378357518,0.650525425281376,97424.7171847092,0.00180950678484398,0.51195728279918,0.19757569900321,0.973430826711701,-5.08866051144898,-5.00242780785076,0.766724775531678,2.1757607799563,0.655561868226156,0.558341954468051,0.0497616594532155,-0.470110309335869,2.20563106413232,1588117.49432702,2.34867928001331,0.590902961474843,14.7846445132047,0.0289946071822702,-8.01785242412239,0.783016853040201,0.0339572890207637,0.494483113230672,0.477993069934892,0.112858302296489,0.0629722960575018,0.0564504282934358,0.393450963416195,0.233580062467663,0.515739214718295,2.33577685205598,1.3417763227661,0.673031887802261
"1543",0.189419033990125,0.704804231311427,93020.1170959044,0.00282018527584383,0.587563650614,0.228180216078399,0.912817353003193,-5.75188331720419,-10.4135675179586,0.881092239089077,2.52703851428002,0.954434718067292,0.95068334304553,0.228502464628546,-0.246883632904501,2.46513904908323,2149837.28670515,2.4364693394053,0.360462743445765,13.2102782068774,0.0146189008751686,-5.26556950272061,0.314892860121327,0.556826962183695,0.0448839815112297,0.448062549548922,0.0750929242592538,0.100318456157926,0.0917153900623089,0.32188744074034,0.286067321768438,0.463094558579009,1.41113801189592,0.775216523616947,1.61518318906676
"1597",0.106442323483177,0.818954989219783,45873.223128583,0.00694817034200183,0.630991655342863,0.241598443880939,0.714597097604419,-5.3973823079979,-6.44867398897186,0.985344313219306,2.04555395699872,0.63278219843749,0.879825459479471,0.0281806648956263,-0.357145630274317,1.99534134906949,1828681.97190808,2.64551865769608,0.367168453644728,5.95838743576314,0.0371007625974601,-6.73004202346317,0.190094852779992,0.00177132379147224,0.596515604512533,0.182965146877104,0.0579755211964948,0.115467399564222,0.058152373742545,0.471802530837432,0.253012303132738,0.539444059976982,1.9785412104314,2.1235518948729,1.70478231785658
"1651",0.198344165230053,0.940068540505599,97222.70674826,0.00855308164662682,1.11631747710577,0.180388660802055,0.770686200885102,-5.49280357032549,-7.4491644375585,0.710258675241726,2.30086476908918,0.809335098566953,0.79046764894214,0.245346820181003,-0.299290834417916,1.24574542729068,2225778.99787575,2.78265788429067,0.467026503989822,12.4471671634237,0.0334776845952606,-4.09916467675939,0.713068628000561,0.97885912873433,0.276899007795146,0.0144409155787434,0.0759587468137033,0.0623706445132848,0.144448510720977,0.47892373046868,0.253645956062071,0.483527692539943,1.80734061863582,1.9714941757013,0.535357918017323
"1705",0.181398349724361,0.431501842965372,42859.0613288397,0.0103485293491068,1.39913066574535,0.080943620930484,0.794285519685946,-4.86942836498376,-11.5027496861946,0.718317947336589,2.08711066193968,0.653002085686661,0.976525525628822,0.24009555535129,-0.000303545680362727,2.14878225257737,1922120.86113635,2.98237702364742,0.474007549296599,13.52280414782,0.0328280555782367,-11.3133462580666,0.412070251176832,0.188462423258461,0.237017181459814,0.072256539206719,0.0506902961422456,0.0958083608873421,0.0898892997433431,0.469321689806168,0.232078048855823,0.516648326641042,1.19189174952575,2.08906006020508,1.69061784353214
"1759",0.105057301381254,0.851124961473979,75308.5350448964,0.0100338734820648,0.971611459136708,0.234545360896445,0.743015958215692,-3.10913476813119,-8.82942630333826,0.85896314662206,2.40723355761909,0.623454770248383,0.527872270384105,0.230969825845677,-0.0143905022658873,1.6527426894079,1624158.13986678,2.11901989683683,0.343451698351535,9.76573802966159,0.0276843025909542,-5.7171716278512,0.435667450554785,0.925882030603243,0.751017553244019,0.000497293571243063,0.0775221567596309,0.129207298773108,0.0712540742022684,0.456832563500723,0.294043539341132,0.379472969181463,1.69574224829129,1.38459269518865,2.09913490242959
"1813",0.118892203040305,0.508774482514709,26971.7725334922,0.00079863951588748,0.414057902914239,0.192709230475593,0.87859494146076,-5.05916912699118,-5.97196386859752,0.763203038305044,1.96797654241503,0.999336339599453,0.516995698599494,0.0746983465133235,-0.270564594190218,1.01926751991501,2322758.43092939,2.63798143738182,0.541513297622558,7.87969363548327,0.0180015776614348,-5.98919511686079,0.709846893310198,0.761455709408037,0.270153604170773,0.246129138837568,0.0848761899905512,0.138388177431887,0.136493698493228,0.505195888708369,0.172105480132217,0.321684137527458,1.88360512727679,1.67102249592257,0.858813628477359
"1867",0.152721598904813,0.501929987590993,61817.0720093476,0.00419746441276628,1.30110862585111,0.163828699592923,0.630844682409079,-5.58023142585531,-4.97804078654386,0.739100760672358,0.542274511317567,0.970522108974867,0.71446281152952,0.192876069341146,-0.478589784568176,3.51910051895771,2575998.61312192,1.81624066145683,0.465421984095359,11.599334780057,0.0206445790658029,-4.29896112498827,0.515305159655982,0.788309450031957,0.0582234813738614,0.576681399097433,0.0677133824646007,0.118377611640724,0.14728167127457,0.543188670444931,0.163084889632417,0.466881991127972,0.725396284245979,1.05166121374903,0.693880492525047
"1921",0.115393551128102,0.318054826179286,40763.4500830027,0.00415690928077092,1.48920636749396,0.126359915176145,0.826067938192282,-4.96273061323911,-4.51804599102586,0.894704774334212,2.14965290681752,0.8581528511988,0.542916534416145,0.0105760833935346,-0.238079654797912,2.75524521727813,1659667.15733986,2.32915871952195,0.422638993396307,12.8424488894176,0.0284152517017042,-10.4855934232473,0.273538905732916,0.259980784227373,0.677351962997345,0.993336054777028,0.087122763309977,0.0560243640820263,0.123558274362236,0.527954145069199,0.251118322547525,0.495486378906202,1.63788624715259,1.86129086426157,1.54096619739543
"1975",0.184539315014263,0.27188424019143,56571.5761796455,0.00779324857095489,0.505297360200435,0.222643881526092,0.560767438689945,-4.03019756872673,-4.00515853851102,0.852562520812498,1.94192755220081,0.608759401231073,0.759947005350259,0.0486931197691592,-0.266535072983243,2.70036041596439,1179082.90500753,1.86809280626883,0.476898074016091,13.3250688316533,0.0165171939742169,-8.44760838234797,0.504285917516332,0.208148412453011,0.0544785534241237,0.231266188150039,0.118118740323698,0.0935423483591294,0.109006011646125,0.428958185925672,0.217703634366975,0.401948455825914,1.37065397915487,2.02777666553183,2.08386173482725
"2029",0.109601588222315,0.695089570250129,53512.1591481147,0.00025967803789652,1.49502630918287,0.182703881539346,0.624443579502986,-4.0822474916419,-10.3961522345897,0.725537772188196,0.745998684492891,0.946933802817017,0.823663021554239,0.161196515962656,-0.420448854449787,2.48995477149379,2480424.77372102,1.54781471345283,0.441762164761545,5.07568304084707,0.0129380576175847,-11.1714264178462,0.697109468639945,0.566202592517948,0.0698594968637917,0.646937076390022,0.146512635436142,0.0593868541137781,0.132306833083858,0.29084669856882,0.251316533029138,0.428127516911551,2.49944142427536,1.61206826451219,1.08660813616957
"2083",0.112162238402176,0.740855645270785,56496.3811962516,0.00472533545880229,1.23644760105701,0.160000490137463,0.951878397819237,-4.15732427379116,-11.5618931823689,0.879683038520859,0.463125708257819,0.936789939918555,0.893605787592824,0.136567572100903,-0.124092701961054,2.53225816327729,1572924.0066139,2.90391863367346,0.555352549641277,11.3036067675101,0.0135034250361668,-5.19393142042682,0.644538696881151,0.0763649938814342,0.508111391736893,0.355266026399331,0.129460541629232,0.0746925058532506,0.105993340793415,0.478269178200432,0.20460356930393,0.384953644275712,0.763467014973052,2.46628005577114,1.95699375395022
"2137",0.117732881668024,0.68469729327946,81807.2006139264,0.00682356255497085,1.37067455771193,0.0662600768123957,0.587327124114381,-2.38963085317519,-10.4697315588035,0.867409323332482,2.64613759806858,0.642076255576685,0.94759877373348,0.200750654038275,-0.226553225065582,2.57180919811479,2716192.19438639,2.41675734279561,0.52377351585275,14.1149091766682,0.036611383184889,-6.30286380356178,0.700113200883847,0.954669317556545,0.639782888388727,0.227774091804167,0.10372877730208,0.0709385565266712,0.105437070778687,0.394742023097014,0.257867494201753,0.40174145897245,1.11700328886438,2.28042323874189,0.817204879725142
"2191",0.16871744860895,0.813328795501729,61504.4618698594,0.00454763514005346,0.573800377880922,0.167586333742365,0.68631091360643,-2.33332776757423,-11.8655200415105,0.980296622984693,0.754504052811175,0.772890940090641,0.853484689785982,0.182921470722067,-0.169459368880489,3.69157113274909,2466427.62864474,2.05315639038978,0.39116061252309,13.4875977364602,0.0149155924134305,-11.978303354485,0.754697540189722,0.467483741103206,0.617240047454834,0.197723038152326,0.0878803340846207,0.0679315767603694,0.134969166527502,0.500715715422237,0.211340085078729,0.505889273170661,0.562230114778085,0.561860374095617,2.40770101408233
"2245",0.165918830841663,0.933429693611106,37351.5561863314,0.00181906496913405,0.868433198109036,0.125831594517294,0.520929711594945,-5.71749025516212,-7.16937091210857,0.87259948280442,0.806792871489645,0.614989413935225,0.918246982349665,0.0454502999861143,-0.18622640413756,3.90486353654065,2951526.84539324,1.76224518318661,0.353178399320925,7.1363295774674,0.0169087454749342,-6.35704685288481,0.397853537589312,0.0695878523332067,0.9133481938357,0.0674993565841578,0.123870465434738,0.143789334640023,0.148606816358981,0.371787118399132,0.180792950549454,0.351633565425547,0.550330121012265,2.40200734094133,1.76954510131466
"2299",0.179363537391648,0.759792189169675,64555.00808949,0.00250466597418184,0.401199600473279,0.129526620254474,0.994445381668047,-3.69423167051282,-5.07140281558037,0.889092444519978,2.42212327596078,0.783285791921895,0.969477766053169,0.177468496363726,-0.493267475939938,3.92667037393898,1454491.42844649,1.9079990464705,0.37758072013082,9.36600920212222,0.0246744093863921,-11.2053686934058,0.519411236339598,0.0935384123213589,0.428324335512007,0.959445638736943,0.104539635421126,0.0669446948361583,0.108276977437665,0.297588827846269,0.258907683548809,0.480540429453459,2.2784080677658,1.92781188814283,1.82504366232153
"2353",0.194522869378212,0.560837437609443,49483.7702604709,0.00944544994553202,0.538267961238278,0.0689290685170272,0.563953725040774,-4.36706078757998,-6.38639424549416,0.983029152998701,2.98847549921306,0.892597763583064,0.589781222396996,0.164287778991566,-0.0467172625643434,1.03358868433279,1980980.07116001,2.39148955226876,0.445012391552213,11.7841309543466,0.0148312200720798,-6.67513112329878,0.382332276311703,0.0709536910045426,0.656864417825127,0.93409837445477,0.0616036694027716,0.12217685623141,0.127423748395406,0.312105363914312,0.200443258637446,0.431911063085031,1.70703550685841,1.83057848475707,1.3130586663455
