id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
440	raisinghani (2005)	"<table><tr><td>Authors:</td><td>raisinghani m.s.; meade l.l.</td></tr><tr><td>Title:</td><td>strategic decisions in supply-chain intelligence using knowledge management: an analytic-network-process framework</td></tr><tr><td>Source:</td><td>supply chain management, 10(2), 114-121</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1108/13598540510589188	1.0603	0.4345	1	1	1	48	4.3765	2005	48	4.3765
616	bryson (1987)	"<table><tr><td>Authors:</td><td>bryson j.m.; roering w.d.</td></tr><tr><td>Title:</td><td>applying private-sector strategic planning in the public sector</td></tr><tr><td>Source:</td><td>journal of the american planning association, 53(1), 9-22</td></tr><tr><td>Year:</td><td>1987</td></tr></table>"	http://dx.doi.org/10.1080/01944368708976631	-0.1601	0.0174	6	31	56	59	11.1687	1987	59	11.1687
627	löfström (2007)	"<table><tr><td>Authors:</td><td>löfström e.; nevgi a.</td></tr><tr><td>Title:</td><td>from strategic planning to meaningful learning: diverse perspectives on the development of web-based teaching and learning in higher education</td></tr><tr><td>Source:</td><td>british journal of educational technology, 38(2), 312-324</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1111/j.1467-8535.2006.00625.x	0.6666	0.2769	1	4	4	43	4.1386	2007	43	4.1386
661	bolaños (2005)	"<table><tr><td>Authors:</td><td>bolaños r.; fontela e.; nenclares a.; pastor p.</td></tr><tr><td>Title:</td><td>using interpretive structural modelling in strategic decision-making groups</td></tr><tr><td>Source:</td><td>management decision, 43(6), 877-895</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1108/00251740510603619	-0.8904	0.4455	3	7	7	83	7.5676	2005	83	7.5676
673	tapinos (2005)	"<table><tr><td>Authors:</td><td>tapinos e.; dyson r.g.; meadows m.</td></tr><tr><td>Title:</td><td>the impact of performance measurement in strategic planning</td></tr><tr><td>Source:</td><td>international journal of productivity and performance management, 54(5-6), 370-384</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1108/17410400510604539	-0.0305	0.196	6	14	17	49	4.4676	2005	49	4.4676
781	priem (1992)	"<table><tr><td>Authors:</td><td>priem r.l.</td></tr><tr><td>Title:</td><td>an application of metric conjoint analysis for the evaluation of top managers' individual strategic decision making processes: a research note</td></tr><tr><td>Source:</td><td>strategic management journal, 13(1 s), 143-151</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	http://dx.doi.org/10.1002/smj.4250131011	-0.0678	0.0005	4	23	38	41	2.5724	1992	41	2.5724
797	bonn (2005)	"<table><tr><td>Authors:</td><td>bonn i.; fisher j.</td></tr><tr><td>Title:</td><td>corporate governance and business ethics: insights from the strategic planning experience</td></tr><tr><td>Source:</td><td>corporate governance, 13(6), 730-738</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1111/j.1467-8683.2005.00466.x	-0.1776	0.2228	2	14	16	39	3.5559	2005	39	3.5559
821	kabirian (2007)	"<table><tr><td>Authors:</td><td>kabirian a.; hemmati m.r.</td></tr><tr><td>Title:</td><td>a strategic planning model for natural gas transmission networks</td></tr><tr><td>Source:</td><td>energy policy, 35(11), 5656-5670</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1016/j.enpol.2007.05.022	-0.9186	0.4585	3	1	1	44	4.2348	2007	44	4.2348
839	gibbons (2005)	"<table><tr><td>Authors:</td><td>gibbons p.t.; o'connor t.</td></tr><tr><td>Title:</td><td>influences on strategic planning processes among irish smes</td></tr><tr><td>Source:</td><td>journal of small business management, 43(2), 170-186</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"		0.163	0.0988	4	32	60	49	4.4676	2005	49	4.4676
840	kardaras (1999)	"<table><tr><td>Authors:</td><td>kardaras d.; karakostas b.</td></tr><tr><td>Title:</td><td>use of fuzzy cognitive maps to simulate the information systems strategic planning process</td></tr><tr><td>Source:</td><td>information and software technology, 41(4), 197-210</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	http://dx.doi.org/10.1016/s0950-5849(98)00125-6	-1.0685	0.2069	7	3	3	68	5.7428	1999	68	5.7428
853	efstathiades (2002)	"<table><tr><td>Authors:</td><td>efstathiades a.; tassou s.; antoniou a.</td></tr><tr><td>Title:</td><td>strategic planning, transfer and implementation of advanced manufacturing technologies (amt). development of an integrated process plan</td></tr><tr><td>Source:</td><td>technovation, 22(4), 201-212</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	http://dx.doi.org/10.1016/s0166-4972(01)00024-4	-0.8286	0.4154	3	6	6	41	3.6236	2002	41	3.6236
1007	parayitam (2007)	"<table><tr><td>Authors:</td><td>parayitam s.; dooley r.s.</td></tr><tr><td>Title:</td><td>the relationship between conflict and decision outcomes: moderating effects of cognitive- and affect-based trust in strategic decision-making teams</td></tr><tr><td>Source:</td><td>international journal of conflict management, 18(1), 42-73</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1108/10444060710759318	-0.0697	-0.8203	4	20	37	45	4.3311	2007	45	4.3311
1038	martin (2003)	"<table><tr><td>Authors:</td><td>martin d.k.; shulman k.; santiago-sorrell p.; singer p.</td></tr><tr><td>Title:</td><td>priority-setting and hospital strategic planning: a qualitative case study</td></tr><tr><td>Source:</td><td>journal of health services research and policy, 8(4), 197-201</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	http://dx.doi.org/10.1258/135581903322403254	-0.8256	0.4225	3	7	8	40	1.486	2003	40	1.486
1046	eppler (2009)	"<table><tr><td>Authors:</td><td>eppler m.j.; platts k.w.</td></tr><tr><td>Title:</td><td>visual strategizing. the systematic use of visualization in the strategic-planning process</td></tr><tr><td>Source:</td><td>long range planning, 42(1), 42-74</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	http://dx.doi.org/10.1016/j.lrp.2008.11.005	0.0601	0.2925	8	6	9	71	6.6679	2009	71	6.6679
1095	mazzola (2008)	"<table><tr><td>Authors:</td><td>mazzola p.; marchisio g.; astrachan j.</td></tr><tr><td>Title:</td><td>strategic planning in family business: a powerful developmental tool for the next generation</td></tr><tr><td>Source:</td><td>family business review, 21(3), 239-258</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	http://dx.doi.org/10.1111/j.1741-6248.2008.00126.x	-0.4982	0.3404	3	23	28	42	5.1282	2008	42	5.1282
1096	craig (2005)	"<table><tr><td>Authors:</td><td>craig j.b.l.; moores k.</td></tr><tr><td>Title:</td><td>balanced scorecards to drive the strategic planning of family firms</td></tr><tr><td>Source:</td><td>family business review, 18(2), 105-122</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"	http://dx.doi.org/10.1111/j.1741-6248.2005.00035.x	0.6891	0.3171	1	8	12	48	4.3765	2005	48	4.3765
1106	miller (2005)	"<table><tr><td>Authors:</td><td>miller c.c.; ireland r.d.</td></tr><tr><td>Title:</td><td>intuition in strategic decision making: friend or foe in the fast-paced 21st century?</td></tr><tr><td>Source:</td><td>academy of management executive, 19(1), 19-30</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"		-0.1361	0.17	2	18	19	105	9.5735	2005	105	9.5735
1156	dennis (1997)	"<table><tr><td>Authors:</td><td>dennis a.r.; tyran c.k.; vogel d.r.; nunamaker jr. j.f.</td></tr><tr><td>Title:</td><td>group support systems for strategic planning</td></tr><tr><td>Source:</td><td>journal of management information systems, 14(1), 155-184</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		-0.1695	-0.1589	2	25	38	39	1.4558	1997	39	1.4558
1157	betts (1992)	"<table><tr><td>Authors:</td><td>betts m.; ofori g.</td></tr><tr><td>Title:</td><td>strategic planning for competitive advantage in construction</td></tr><tr><td>Source:</td><td>construction management and economics, 10(6), 511-532</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	http://dx.doi.org/10.1080/01446199200000049	-0.0904	0.1154	2	20	27	100	6.2741	1992	100	6.2741
1160	lyon (2000)	"<table><tr><td>Authors:</td><td>lyon d.w.; lumpkin g.t.; dess g.g.</td></tr><tr><td>Title:</td><td>enhancing entrepreneurial orientation research: operationalizing and measuring a key strategic decision making process</td></tr><tr><td>Source:</td><td>journal of management, 26(5), 1055-1085</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"		0.1621	0.002	4	30	70	250	12.0536	2000	250	12.0536
1162	hickson (2003)	"<table><tr><td>Authors:</td><td>hickson d.j.; miller s.j.; wilson d.c.</td></tr><tr><td>Title:</td><td>planned or prioritized? two options in managing the implementation of strategic decisions</td></tr><tr><td>Source:</td><td>journal of management studies, 40(7), 1803-1836</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"		-0.4496	0.2152	3	28	72	45	1.6717	2003	45	1.6717
1183	yasai-ardekani (1997)	"<table><tr><td>Authors:</td><td>yasai-ardekani m.; haug r.s.</td></tr><tr><td>Title:</td><td>contextual determinants of strategic planning processes</td></tr><tr><td>Source:</td><td>journal of management studies, 34(5), 729-767</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		-0.1061	-0.1009	6	27	51	40	1.4931	1997	40	1.4931
1272	hipel (2001)	"<table><tr><td>Authors:</td><td>hipel k.w.; kilgour d.m.; fang l.; peng x.</td></tr><tr><td>Title:</td><td>strategic decision support for the services industry</td></tr><tr><td>Source:</td><td>ieee transactions on engineering management, 48(3), 358-369</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	http://dx.doi.org/10.1109/17.946535	1.0154	0.4219	1	3	3	46	4.4811	2001	46	4.4811
1283	bowman (2001)	"<table><tr><td>Authors:</td><td>bowman e.h.; moskowitz g.t.</td></tr><tr><td>Title:</td><td>real options analysis and strategic decision making</td></tr><tr><td>Source:</td><td>organization science, 12(6), 772-777</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"		0.4585	0.0339	8	1	1	141	13.7356	2001	141	13.7356
1301	mohdzain (2007)	"<table><tr><td>Authors:</td><td>mohdzain m.b.; ward j.m.</td></tr><tr><td>Title:</td><td>a study of subsidiaries' views of information systems strategic planning in multinational organisations</td></tr><tr><td>Source:</td><td>journal of strategic information systems, 16(4), 324-352</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1016/j.jsis.2007.02.003	-0.8386	0.2167	7	23	33	40	3.8499	2007	40	3.8499
1311	grant (2003)	"<table><tr><td>Authors:</td><td>grant r.m.</td></tr><tr><td>Title:</td><td>strategic planning in a turbulent environment: evidence from the oil majors</td></tr><tr><td>Source:</td><td>strategic management journal, 24(6), 491-517</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	http://dx.doi.org/10.1002/smj.314	0.1849	-0.0626	5	37	77	289	10.7363	2003	289	10.7363
1319	andersen (2000)	"<table><tr><td>Authors:</td><td>andersen t.j.</td></tr><tr><td>Title:</td><td>strategic planning, autonomous actions and corporate performance</td></tr><tr><td>Source:</td><td>long range planning, 33(2), 184-200</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	http://dx.doi.org/10.1016/s0024-6301(00)00028-5	-0.0277	-0.0316	6	34	91	84	4.05	2000	84	4.05
1322	bramwell (1997)	"<table><tr><td>Authors:</td><td>bramwell b.</td></tr><tr><td>Title:</td><td>strategic planning before and after a mega-event</td></tr><tr><td>Source:</td><td>tourism management, 18(3), 167-176</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		0.0367	0.2156	5	9	9	92	3.4342	1997	92	3.4342
1353	judge jr. (1998)	"<table><tr><td>Authors:</td><td>judge jr. w.q.; douglas t.j.</td></tr><tr><td>Title:</td><td>performance implications of incorporating natural environmental issues into the strategic planning process: an empirical assessment</td></tr><tr><td>Source:</td><td>journal of management studies, 35(2), 241-262</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"		-0.0154	0.1332	2	33	65	274	18.6368	1998	274	18.6368
1372	carr (1998)	"<table><tr><td>Authors:</td><td>carr c.; tomkins c.</td></tr><tr><td>Title:</td><td>context, culture and the role of the finance function in strategic decisions. a comparative analysis of britain, germany, the u.s.a. and japan</td></tr><tr><td>Source:</td><td>management accounting research, 9(2), 213-239</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"		-0.2182	0.1579	2	19	26	44	2.9928	1998	44	2.9928
1404	farmar-bowers (2009)	"<table><tr><td>Authors:</td><td>farmar-bowers q.; lane r.</td></tr><tr><td>Title:</td><td>understanding farmers' strategic decision-making processes and the implications for biodiversity conservation policy</td></tr><tr><td>Source:</td><td>journal of environmental management, 90(2), 1135-1144</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	http://dx.doi.org/10.1016/j.jenvman.2008.05.002	-0.809	0.4207	3	3	4	53	4.9775	2009	53	4.9775
1409	bryson (2009)	"<table><tr><td>Authors:</td><td>bryson j.m.; crosby b.c.; bryson j.k.</td></tr><tr><td>Title:</td><td>understanding strategic planning and the formulation and implementation of strategic plans as a way of knowing: the contributions of actor-network theory</td></tr><tr><td>Source:</td><td>international public management journal, 12(2), 172-207</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	http://dx.doi.org/10.1080/10967490902873473	0.1501	0.2866	2	17	23	41	3.8505	2009	41	3.8505
1449	warszawski (1996)	"<table><tr><td>Authors:</td><td>warszawski a.</td></tr><tr><td>Title:</td><td>strategic planning in construction companies</td></tr><tr><td>Source:</td><td>journal of construction engineering and management, 122(2), 133-140</td></tr><tr><td>Year:</td><td>1996</td></tr></table>"		-0.18	0.1944	2	23	30	69	10.5292	1996	69	10.5292
1495	andersen (2001)	"<table><tr><td>Authors:</td><td>andersen t.j.</td></tr><tr><td>Title:</td><td>information technology, strategic decision making approaches and organizational performance in different industrial settings</td></tr><tr><td>Source:</td><td>journal of strategic information systems, 10(2), 101-119</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	http://dx.doi.org/10.1016/s0963-8687(01)00043-9	0.0453	-0.1271	6	24	56	83	8.0855	2001	83	8.0855
1505	hough (2003)	"<table><tr><td>Authors:</td><td>hough j.r.; white m.a.</td></tr><tr><td>Title:</td><td>environmental dynamism and strategic decision-making rationality: an examination at the decision level</td></tr><tr><td>Source:</td><td>strategic management journal, 24(5), 481-489</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	http://dx.doi.org/10.1002/smj.303	-0.0811	-0.0644	5	24	60	83	3.0834	2003	83	3.0834
1526	chen (2009)	"<table><tr><td>Authors:</td><td>chen l.y.; wang t.-c.</td></tr><tr><td>Title:</td><td>optimizing partners' choice in is/it outsourcing projects: the strategic decision of fuzzy vikor</td></tr><tr><td>Source:</td><td>international journal of production economics, 120(1), 233-242</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	http://dx.doi.org/10.1016/j.ijpe.2008.07.022	0.0979	-3.773	10	3	9	124	11.6454	2009	124	11.6454
1540	miller (1997)	"<table><tr><td>Authors:</td><td>miller s.</td></tr><tr><td>Title:</td><td>implementing strategic decisions: four key success factors</td></tr><tr><td>Source:</td><td>organization studies, 18(4), 577-602</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		-0.4297	0.1693	3	20	59	41	1.5305	1997	41	1.5305
1595	sarkis (2003)	"<table><tr><td>Authors:</td><td>sarkis j.</td></tr><tr><td>Title:</td><td>a strategic decision framework for green supply chain management</td></tr><tr><td>Source:</td><td>journal of cleaner production, 11(4), 397-409</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	http://dx.doi.org/10.1016/s0959-6526(02)00062-8	1.0145	0.4797	1	1	2	580	21.5469	2003	580	21.5469
1598	papadakis (2002)	"<table><tr><td>Authors:</td><td>papadakis v.m.; barwise p.</td></tr><tr><td>Title:</td><td>how much do ceos and top managers matter in strategic decision-making?</td></tr><tr><td>Source:</td><td>british journal of management, 13(1), 83-95</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"		-0.2256	-0.1505	4	20	49	93	8.2193	2002	93	8.2193
1606	miller (2004)	"<table><tr><td>Authors:</td><td>miller s.; wilson d.; hickson d.</td></tr><tr><td>Title:</td><td>beyond planning: strategies for successfully implementing strategic decisions</td></tr><tr><td>Source:</td><td>long range planning, 37(3), 201-218</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	http://dx.doi.org/10.1016/j.lrp.2004.03.003	-0.1044	0.2143	5	22	42	45	4.5485	2004	45	4.5485
1629	brockmann (2002)	"<table><tr><td>Authors:</td><td>brockmann e.n.; anthony w.p.</td></tr><tr><td>Title:</td><td>tacit knowledge and strategic decision making</td></tr><tr><td>Source:</td><td>group and organization management, 27(4), 436-455</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	http://dx.doi.org/10.1177/1059601102238356	-0.1303	-0.0441	2	32	65	41	3.6236	2002	41	3.6236
1640	schwenk (1995)	"<table><tr><td>Authors:</td><td>schwenk c.r.</td></tr><tr><td>Title:</td><td>strategic decision making</td></tr><tr><td>Source:</td><td>journal of management, 21(3), 471-493</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	http://dx.doi.org/10.1177/014920639502100304	-0.1147	-0.089	4	28	86	130	17.2599	1995	130	17.2599
1642	rajagopalan (1993)	"<table><tr><td>Authors:</td><td>rajagopalan n.; rasheed a.m.a.; datta d.k.</td></tr><tr><td>Title:</td><td>strategic decision processes: critical review and future directions</td></tr><tr><td>Source:</td><td>journal of management, 19(2), 349-384</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"	http://dx.doi.org/10.1177/014920639301900207	-0.2651	-0.0209	4	33	131	181	26.1561	1993	181	26.1561
1650	busenitz (1997)	"<table><tr><td>Authors:</td><td>busenitz l.w.; barney j.b.</td></tr><tr><td>Title:</td><td>differences between entrepreneurs and managers in large organizations: biases and heuristics in strategic decision-making</td></tr><tr><td>Source:</td><td>journal of business venturing, 12(1), 9-30</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"		0.237	0.0669	4	29	65	818	30.5344	1997	818	30.5344
1685	laine (2007)	"<table><tr><td>Authors:</td><td>laine p.-m.; vaara e.</td></tr><tr><td>Title:</td><td>struggling over subjectivity: a discursive analysis of strategic development in an engineering group</td></tr><tr><td>Source:</td><td>human relations, 60(1), 29-58</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1177/0018726707075279	-0.4112	0.3295	3	24	31	93	8.9509	2007	93	8.9509
1696	delany (2000)	"<table><tr><td>Authors:</td><td>delany e.</td></tr><tr><td>Title:</td><td>strategic development of the multinational subsidiary through subsidiary initiative-taking</td></tr><tr><td>Source:</td><td>long range planning, 33(2), 220-244</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	http://dx.doi.org/10.1016/s0024-6301(00)00029-7	-0.4337	0.0187	7	10	16	63	3.0375	2000	63	3.0375
1702	dyson (2004)	"<table><tr><td>Authors:</td><td>dyson r.g.</td></tr><tr><td>Title:</td><td>strategic development and swot analysis at the university of warwick</td></tr><tr><td>Source:</td><td>european journal of operational research, 152(3), 631-640</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	http://dx.doi.org/10.1016/s0377-2217(03)00062-6	0.2821	0.2312	5	20	21	128	12.938	2004	128	12.938
1712	mills (1995)	"<table><tr><td>Authors:</td><td>mills j.; platts k.; gregory m.</td></tr><tr><td>Title:</td><td>a framework for the design of manufacturing strategy processes: a contingency approach</td></tr><tr><td>Source:</td><td>international journal of operations and production management, 15(4), 17-49</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	http://dx.doi.org/10.1108/01443579510083596	-0.0404	0.3697	9	25	53	88	11.6836	1995	88	11.6836
1718	chakravarthy (1992)	"<table><tr><td>Authors:</td><td>chakravarthy b.s.; doz y.</td></tr><tr><td>Title:</td><td>strategy process research: focusing on corporate self?renewal</td></tr><tr><td>Source:</td><td>strategic management journal, 13(1 s), 5-14</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	http://dx.doi.org/10.1002/smj.4250131003	0.0505	0.1246	5	22	31	150	9.4112	1992	150	9.4112
1722	whittington (2007)	"<table><tr><td>Authors:</td><td>whittington r.</td></tr><tr><td>Title:</td><td>strategy practice and strategy process: family differences and the sociological eye</td></tr><tr><td>Source:</td><td>organization studies, 28(10), 1575-1586</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"	http://dx.doi.org/10.1177/0170840607081557	-0.004	0.3078	8	22	35	105	10.1059	2007	105	10.1059
1734	paiva (2008)	"<table><tr><td>Authors:</td><td>paiva e.l.; roth a.v.; fensterseifer j.e.</td></tr><tr><td>Title:</td><td>organizational knowledge and the manufacturing strategy process: a resource-based view analysis</td></tr><tr><td>Source:</td><td>journal of operations management, 26(1), 115-132</td></tr><tr><td>Year:</td><td>2008</td></tr></table>"	http://dx.doi.org/10.1016/j.jom.2007.05.003	-0.0167	0.0771	9	24	42	97	11.8437	2008	97	11.8437
1744	van de ven (1992)	"<table><tr><td>Authors:</td><td>van de ven a.h.</td></tr><tr><td>Title:</td><td>suggestions for studying strategy process: a research note</td></tr><tr><td>Source:</td><td>strategic management journal, 13(1 s), 169-188</td></tr><tr><td>Year:</td><td>1992</td></tr></table>"	http://dx.doi.org/10.1002/smj.4250131013	0.3411	0.0695	8	25	39	538	33.7548	1992	538	33.7548
1826	hallstedt (2010)	"<table><tr><td>Authors:</td><td>hallstedt s.; ny h.; robèrt k.-h.; broman g.</td></tr><tr><td>Title:</td><td>an approach to assessing sustainability integration in strategic decision systems for product development</td></tr><tr><td>Source:</td><td>journal of cleaner production, 18(8), 703-712</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	http://dx.doi.org/10.1016/j.jclepro.2009.12.017	0.9055	0.432	1	5	7	58	6.8028	2010	58	6.8028
2474	merigó (2010)	"<table><tr><td>Authors:</td><td>merigó j.m.; casanovas m.</td></tr><tr><td>Title:</td><td>the fuzzy generalized owa operator and its application in strategic decision making</td></tr><tr><td>Source:</td><td>cybernetics and systems, 41(5), 359-370</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	http://dx.doi.org/10.1080/01969722.2010.486223	0.1017	-3.9112	10	1	1	87	10.2042	2010	87	10.2042
2559	chen (2011)	"<table><tr><td>Authors:</td><td>chen y.-h.; wang t.-c.; wu c.-y.</td></tr><tr><td>Title:</td><td>strategic decisions using the fuzzy promethee for is outsourcing</td></tr><tr><td>Source:</td><td>expert systems with applications, 38(10), 13216-13222</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	http://dx.doi.org/10.1016/j.eswa.2011.04.137	0.1007	-3.8721	10	2	8	39	7.7893	2011	39	7.7893
2606	wirtz (2010)	"<table><tr><td>Authors:</td><td>wirtz b.w.; schilke o.; ullrich s.</td></tr><tr><td>Title:</td><td>strategic development of business models: implications of the web 2.0 for creating value on the internet</td></tr><tr><td>Source:</td><td>long range planning, 43(2-3), 272-290</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	http://dx.doi.org/10.1016/j.lrp.2010.01.005	-0.9762	0.2255	7	1	1	163	19.1183	2010	163	19.1183
